reference;nombre de pieces;nombre de chambres;surface;surface terrain;prix m2
F27/1248 /  19 octobre 2024;6.0;4.0;142.0;552.0;1.183
F53/1370 /  18 octobre 2024;4.0;3.0;100.0;;7.9
F36/1076 /  18 octobre 2024;3.0;2.0;64.0;;6.391
F36/2213 /  17 octobre 2024;3.0;2.0;109.0;;1.486
F43/0571 /  18 octobre 2024;4.0;3.0;95.14;1.0;2.449
E79/2425 /  19 octobre 2024;4.0;2.0;79.0;1.4;4.304
F49/0666 /  17 octobre 2024;4.0;3.0;107.0;;10.0
F51/2394 /  17 octobre 2024;2.0;1.0;52.0;;10.481
F50/0355 /  17 octobre 2024;2.0;1.0;36.0;;9.153
E23/0293 /  17 octobre 2024;5.0;2.0;120.0;150.0;6.25
F50/2051 /  17 octobre 2024;2.0;1.0;50.0;;10.1
F06/2121 /  17 octobre 2024;;;202.0;;
F22/1067 /  17 octobre 2024;3.0;2.0;64.0;;9.297
F46/2814 /  17 octobre 2024;8.0;5.0;210.0;15.0;1.881
E86/2930 /  17 octobre 2024;2.0;1.0;34.0;;6.735
E01/0614 /  18 octobre 2024;3.0;1.0;46.0;;10.848
E50/0735 /  17 octobre 2024;4.0;3.0;80.0;;4.063
F18/1988 /  17 octobre 2024;6.0;4.0;135.0;753.0;3.704
F47/0695 /  17 octobre 2024;2.0;1.0;33.0;;5.909
F51/0205 /  17 octobre 2024;5.0;4.0;101.0;;7.376
F46/1524 /  19 octobre 2024;2.0;1.0;48.0;;3.646
F44/0784 /  15 octobre 2024;4.0;3.0;114.16;;11.388
F25/1096 /  18 octobre 2024;5.0;3.0;121.0;2.78;5.496
F49/2626 /  17 octobre 2024;3.0;2.0;63.0;32.0;4.048
F48/2273 /  16 octobre 2024;3.0;1.0;55.0;70.0;4.709
E25/0704 /  18 octobre 2024;2.0;1.0;51.0;;5.588
F22/0506 /  19 octobre 2024;5.0;4.0;71.0;;3.887
F46/2473 /  17 octobre 2024;4.0;3.0;67.0;;3.06
F08/0515 /  17 octobre 2024;3.0;2.0;81.0;;8.765
F13/0213 /  17 octobre 2024;6.0;3.0;160.0;1.285;1.863
F51/1449 /  19 octobre 2024;5.0;3.0;165.0;2.56;8.606
E98/2624 /  19 octobre 2024;2.0;1.0;34.0;4.98;1.353
F39/1562 /  18 octobre 2024;2.0;1.0;42.0;99.0;
F52/0612 /  17 octobre 2024;6.0;5.0;280.0;900.0;4.339
F45/1724 /  17 octobre 2024;3.0;2.0;47.0;;5.83
F26/2723 /  19 octobre 2024;8.0;6.0;350.0;390.0;2.143
F47/1821 /  19 octobre 2024;8.0;6.0;200.0;864.0;6.0
F46/0065 /  17 octobre 2024;6.0;5.0;280.0;15.0;4.286
F52/0396 /  17 octobre 2024;;2.0;40.0;;
F21/0078 /  17 octobre 2024;3.0;2.0;80.0;;2.325
F22/2670 /  17 octobre 2024;4.0;2.0;112.0;;8.482
F03/0852 /  17 octobre 2024;3.0;2.0;64.0;;
F04/0533 /  17 octobre 2024;3.0;2.0;57.0;;5.314
F27/1089 /  17 octobre 2024;5.0;4.0;93.0;376.0;2.677
F31/0878 /  17 octobre 2024;5.0;4.0;126.0;653.0;2.683
F53/1054 /  18 octobre 2024;4.0;2.0;91.0;;4.341
F50/2033 /  19 octobre 2024;7.0;3.0;175.0;490.0;2.057
F06/1324 /  18 octobre 2024;4.0;2.0;98.0;392.0;2.194
F34/2832 /  17 octobre 2024;3.0;2.0;56.0;;5.714
F14/1239 /  18 octobre 2024;10.0;5.0;400.0;;1.063
F43/0959 /  17 octobre 2024;4.0;3.0;155.0;5.5;2.742
F52/2583 /  17 octobre 2024;6.0;4.0;305.0;1.4;6.23
F33/3342 /  17 octobre 2024;6.0;4.0;180.0;726.0;3.778
F04/2434 /  17 octobre 2024;4.0;3.0;93.0;;8.602
E72/1009 /  18 octobre 2024;8.0;5.0;142.0;;3.239
F09/1868 /  18 octobre 2024;5.0;3.0;88.0;550.0;3.239
F34/1633 /  18 octobre 2024;5.0;3.0;113.0;;
F23/2795 /  17 octobre 2024;9.0;7.0;380.0;;655.0
F41/0136 /  17 octobre 2024;6.0;4.0;175.0;720.0;3.709
F06/0642 /  19 octobre 2024;1.0;;25.0;;2.4
F49/1148 /  19 octobre 2024;3.0;2.0;70.0;;6.0
D00/0699 /  19 octobre 2024;2.0;1.0;30.0;;15.0
E35/0189 /  17 octobre 2024;3.0;2.0;58.0;;4.569
F46/1888 /  17 octobre 2024;1.0;;21.89;;9.593
F31/0798 /  17 octobre 2024;6.0;4.0;148.0;1.0;2.02
F45/0210 /  17 octobre 2024;6.0;5.0;170.0;441.0;3.235
E69/2953 /  18 octobre 2024;4.0;3.0;90.0;;4.167
F52/1959 /  19 octobre 2024;;;270.0;;
F27/2667 /  18 octobre 2024;3.0;2.0;60.0;;5.467
F25/0921 /  17 octobre 2024;4.0;2.0;100.0;;8.25
F45/2353 /  17 octobre 2024;3.0;2.0;66.0;;3.561
F01/1317 /  17 octobre 2024;;;;;
F46/3023 /  17 octobre 2024;4.0;3.0;87.0;320.0;
F50/1707 /  19 octobre 2024;3.0;2.0;75.0;;5.2
F03/1400 /  18 octobre 2024;10.0;7.0;373.0;3.5;
E91/1333 /  19 octobre 2024;3.0;2.0;63.53;175.0;2.991
F36/2825 /  17 octobre 2024;5.0;3.0;120.0;300.0;3.708
F42/2136 /  17 octobre 2024;2.0;1.0;31.0;;5.323
E35/2649 /  17 octobre 2024;5.0;4.0;116.0;;
F52/2096 /  14 octobre 2024;6.0;;200.0;300.0;1.45
F52/1843 /  15 octobre 2024;1.0;;30.0;;5.833
F38/1652 /  18 octobre 2024;3.0;2.0;68.0;;4.191
F45/2351 /  17 octobre 2024;;4.0;140.0;;
F28/1852 /  19 octobre 2024;1.0;;22.0;;3.455
F41/2163 /  17 octobre 2024;2.0;1.0;39.0;;
F43/1942 /  17 octobre 2024;3.0;2.0;71.0;;
F44/1405 /  19 octobre 2024;6.0;3.0;137.0;427.0;4.051
F47/0927 /  17 octobre 2024;4.0;3.0;90.0;293.0;5.444
F41/1674 /  19 octobre 2024;4.0;3.0;100.0;;1.99
F52/0976 /  17 octobre 2024;5.0;4.0;123.0;1.071;3.813
F20/2561 /  17 octobre 2024;7.0;4.0;179.0;7.278;1.955
F09/0944 /  17 octobre 2024;;;312.0;;606.0
E07/0237 /  17 octobre 2024;8.0;4.0;214.0;1.1;1.379
F32/0831 /  18 octobre 2024;3.0;2.0;69.82;;8.88
F39/1150 /  18 octobre 2024;3.0;2.0;64.0;;6.234
F43/0918 /  17 octobre 2024;3.0;2.0;89.0;;17.528
F47/1560 /  19 octobre 2024;6.0;4.0;158.0;683.0;3.348
F40/0892 /  18 octobre 2024;;;1.0;;180.0
F17/0158 /  17 octobre 2024;3.0;2.0;59.0;;3.085
F53/0398 /  19 octobre 2024;5.0;3.0;125.0;460.0;3.52
F52/3018 /  15 octobre 2024;4.0;3.0;80.0;2.551;2.725
E88/0362 /  17 octobre 2024;4.0;2.0;80.0;;6.938
F00/2202 /  14 octobre 2024;2.0;1.0;30.0;;8.3
F33/1311 /  17 octobre 2024;6.0;3.0;270.0;1.7;1.926
F34/2295 /  19 octobre 2024;5.0;3.0;87.0;448.0;7.126
E01/0390 /  17 octobre 2024;4.0;3.0;78.0;;4.167
F35/0497 /  17 octobre 2024;5.0;4.0;155.0;990.0;3.194
F40/1504 /  17 octobre 2024;4.0;3.0;81.0;273.0;3.333
F33/0013 /  18 octobre 2024;5.0;3.0;95.0;;2.263
F20/2370 /  17 octobre 2024;4.0;3.0;78.0;;3.013
F22/0774 /  17 octobre 2024;6.0;3.0;136.0;502.0;3.456
F46/0206 /  17 octobre 2024;5.0;3.0;195.0;1.0;1.436
F42/1962 /  17 octobre 2024;6.0;4.0;340.0;5.5;2.618
E46/2829 /  18 octobre 2024;4.0;3.0;91.0;;5.044
F06/1196 /  19 octobre 2024;5.0;3.0;91.0;;2.89
E58/0145 /  17 octobre 2024;6.0;3.0;165.0;68.0;
F43/0392 /  17 octobre 2024;5.0;3.0;135.0;1.38;5.111
E13/2500 /  18 octobre 2024;4.0;3.0;64.0;;4.68
F13/2175 /  17 octobre 2024;7.0;4.0;166.0;2.649;8.976
F37/0179 /  17 octobre 2024;4.0;3.0;82.0;;4.244
F30/2172 /  17 octobre 2024;4.0;3.0;62.0;;2.968
F29/0230 /  18 octobre 2024;5.0;4.0;130.0;280.0;1.015
E37/1476 /  17 octobre 2024;1.0;;28.0;450.0;
F18/1485 /  13 octobre 2024;6.0;4.0;154.0;1.2;2.208
F11/0151 /  17 octobre 2024;1.0;;24.0;;9.0
F35/1448 /  17 octobre 2024;5.0;3.0;150.0;410.0;2.533
F37/1066 /  17 octobre 2024;4.0;2.0;66.0;;3.455
F47/0605 /  17 octobre 2024;7.0;5.0;193.0;609.0;3.264
F37/0923 /  17 octobre 2024;6.0;4.0;156.0;722.0;3.135
F28/2787 /  17 octobre 2024;6.0;5.0;120.0;800.0;2.625
F45/0142 /  18 octobre 2024;3.0;2.0;83.0;;6.988
F21/1673 /  19 octobre 2024;;;20.0;;20.0
E84/1687 /  17 octobre 2024;6.0;4.0;126.0;500.0;
F50/0827 /  17 octobre 2024;5.0;2.0;100.0;2.0;
F46/0096 /  17 octobre 2024;2.0;1.0;33.0;;4.97
F30/1049 /  18 octobre 2024;3.0;2.0;56.0;;8.571
F45/2317 /  17 octobre 2024;6.0;3.0;165.0;3.47;
F17/2262 /  17 octobre 2024;5.0;3.0;124.0;;
E31/3542 /  18 octobre 2024;2.0;1.0;45.0;;4.778
E97/2740 /  17 octobre 2024;3.0;2.0;54.52;;6.034
F52/2514 /  19 octobre 2024;4.0;2.0;71.0;;8.437
F30/0640 /  18 octobre 2024;3.0;2.0;56.0;;3.125
F45/1305 /  19 octobre 2024;9.0;6.0;241.0;420.0;6.971
F39/0700 /  17 octobre 2024;3.0;2.0;46.0;;9.565
F42/0475 /  17 octobre 2024;3.0;2.0;61.0;;1.609
E14/0776 /  19 octobre 2024;7.0;3.0;130.0;1.834;1.688
F28/1373 /  18 octobre 2024;5.0;4.0;155.0;800.0;2.71
F34/1127 /  17 octobre 2024;7.0;4.0;169.0;760.0;
F47/2773 /  17 octobre 2024;;;86.0;;
F28/2633 /  17 octobre 2024;2.0;1.0;44.0;;
F46/1528 /  19 octobre 2024;5.0;4.0;115.0;300.0;2.87
F50/0696 /  17 octobre 2024;2.0;1.0;45.0;;5.889
F46/3015 /  17 octobre 2024;;;538.0;;600.0
F44/1723 /  19 octobre 2024;4.0;1.0;85.0;994.0;584.0
F24/2063 /  17 octobre 2024;6.0;5.0;170.0;1.447;4.824
F00/2388 /  17 octobre 2024;6.0;4.0;255.0;800.0;2.235
E58/0222 /  17 octobre 2024;;;1.3;;
F33/0079 /  17 octobre 2024;2.0;1.0;60.0;;
F36/3036 /  17 octobre 2024;5.0;3.0;75.0;;2.933
F28/2895 /  17 octobre 2024;9.0;7.0;182.0;1.014;
C52/0990 /  17 octobre 2024;12.0;6.0;447.0;376.0;8.479
F32/0475 /  17 octobre 2024;5.0;4.0;113.0;;5.265
F34/1190 /  17 octobre 2024;4.0;2.0;88.0;;5.455
F21/2438 /  17 octobre 2024;8.0;5.0;210.0;944.0;2.214
F49/2399 /  17 octobre 2024;2.0;1.0;43.0;;4.698
F00/1586 /  18 octobre 2024;2.0;1.0;50.75;;7.488
F42/2316 /  17 octobre 2024;5.0;4.0;150.0;475.0;
F35/0991 /  19 octobre 2024;5.0;4.0;103.0;1.248;835.0
F39/0632 /  17 octobre 2024;9.0;5.0;280.0;3.5;1.414
E02/0082 /  17 octobre 2024;;;116.0;;
F06/0243 /  17 octobre 2024;;;;;
F34/2172 /  17 octobre 2024;3.0;2.0;67.0;;3.507
F24/2388 /  17 octobre 2024;3.0;2.0;65.0;;4.6
F40/0233 /  17 octobre 2024;8.0;6.0;200.0;983.0;1.4
F16/0679 /  17 octobre 2024;;;27.0;;
F36/0317 /  17 octobre 2024;5.0;3.0;102.0;;7.255
E93/0814 /  17 octobre 2024;9.0;6.0;360.0;500.0;819.0
F35/0955 /  17 octobre 2024;3.0;2.0;50.0;;3.76
F27/0320 /  17 octobre 2024;5.0;3.0;137.0;;6.555
F39/1498 /  17 octobre 2024;4.0;3.0;82.0;;3.11
F34/1861 /  18 octobre 2024;;;300.0;;
F49/1279 /  19 octobre 2024;1.0;;16.7;;
F46/2819 /  17 octobre 2024;6.0;4.0;134.0;469.0;4.664
F19/1048 /  18 octobre 2024;3.0;2.0;68.2;;8.021
