reference;postal_code;date;price;latitude;longitude;type;energy_class;description_text;url;transport_station_name
F47/3023 /  17 octobre 2024;17430.0;17/10/2024;580000.0;45.999604;-0.769015;maison;E;"Située à proximité de Rochefort, Saintes et La Rochelle.

Charmante maison de 2004 plain-pied 7 pièces d'une superficie de 298 m2 avec terrasse et un terrain de 3.513 m2 clos et arboré , elle comporte :

Une entrée, un spacieux séjour/salle à manger carrelé lumineux orienté plein sud et donnant sur une terrasse extérieure en bois, une cuisine ouverte aménagée et équipée, 1 deuxième cuisine indépendante aménagée et équipée, 1 suite parentale et sa salle de bains privative avec douche à l'italienne meuble double vasque fenêtre 2 sèche-serviettes et son dressing, 3 chambres dont 1 avec dressing, une pièce pouvant servir de buanderie/rangement avec lave-mains, une salle de bains avec fenêtre wc suspendus lave-mains et sèche-serviettes, wc suspendus séparés avec fenêtre.

Un bureau de 27 m² + salle d'eau (douche à l'italienne) lavabo sur colonne et wc.

Un garage attenant de 56m² avec Galetas.

Une dépendance réalisée en parpaing de 400 m2 avec 3 portes à enroulement, ainsi que 2 préaux aux 2 extrémités complètent ce bien.

Double vitrage, volets roulants électriques, portail électrique en fer forgé.
Jardin arboré. Cour intérieure avec enrobé. Assainissement individuel conforme. Maison sur vide sanitaire.
Terrain piscinable.
Chauffage : fioul avec plancher chauffant.
Taxe foncière : 2.862€/an  J'utilise Whatsapp. Vous pouvez proposer un appel vidéo pour visiter le logement.";https://www.pap.fr/annonces/maison-genouille-r454703023;
D56/0600 /  17 octobre 2024;54560.0;17/10/2024;25000000.0;0.0;0.0;terrain;;"Terrain constructible  (à demi viabilisé) 24839m²  et borné contradictoirement
Vente du lot en entier uniquement

Les réseaux disponibles  (eau-électricité-télécommunications etc. à proximité  (moins d'1 mètre)
Accès existants
Exposition dominante et très ensoleillée
Calme et tranquillité assurés

Situé à 10 minutes de la frontière luxembourgeoise (Audun-le-Tiche) à 20 minutes de la frontière Belge et à 500 mètres de l'échangeur autoroutier

Ecoles  à 3 km par ramassage scolaire
Tous commerces à moins de 5 km
Peu convenir à un lotisseur, à un industriel.
L'OFFRE LA MIEUX DISANTE SERA RETENUE

Pas sérieux s'abstenir.";https://www.pap.fr/annonces/terrain-beuvillers-54560-r435600600;
F25/2013 /  17 octobre 2024;91370.0;17/10/2024;180000.0;48.748371;2.266653;fonds;D;"Commerce situé en plein centre ville, emplacement numéro 1, premier commerce de la rue commerçante, parking en face du magasin.
Fonds de commerce ou possibilité pas de porte tout commerce avec grosse extraction type restaurant actuellement traiteur italien épicerie fine traiteur et pizza à emporter possibilité places assises.
Pour plus information contacter directement par tel.

Local 103m carré réparti :  surface rez-de-chaussée 59 m² sous-sol  44 m² idéal pour un laboratoire et chambre froide etc
Loyer mensuel 2.100 euros HT/HC faibles charges mensuelles 40 € nouveau bail de janvier 2024. Appelez moi directement je ne réponds ni au mail ni au sms merci";https://www.pap.fr/annonces/fonds-de-commerce-verrieres-le-buisson-91370-r452502013;Massy - Verrières//Les Baconnets//Fontaine-Michalon
F47/1100 /  17 octobre 2024;64170.0;17/10/2024;295000.0;43.406571;-0.598738;maison;D;"Venez découvrir cette maison familiale des années 30 . Béarnaise de conception, l’entrée dessert à droite le salon avec son poêle et à gauche un bureau, une salle de jeux ou une chambre…
Au rez-de-chaussée, vous trouverez également une salle à manger lumineuse, une cuisine, un wc , une salle de douche et l’accès au jardin.  Une porte indépendante ouvre sur une vaste pièce de plus de 30 m2 qui pourra servir de bureau / cabinet à un professionnel ou encore d’une immense chambre pour ado ou jeune adulte.
À l’étage , 3 grandes chambres et une salle de bain avec wc et double vasque.

Jardin paysagé avec coin potager et poulailler. Piscine  avec dôme . Splendide terrasse couverte proche de la cuisine d’été. Cabane en bois pour les enfants . Carport pour deux voitures. Cabanon de jardin pour les outils, la tondeuse et l’appareillage de la piscine

Maison proche d’une route mais limitée à 50kmh
Arrêt de bus à 100m qui dessert les écoles , collèges, lycée et centre commercial !
Lacq est un village où il fait bon vivre avec de nombreux avantages pour toute la famille.
Sortie d’autoroute d’Artix à 5minutes.";https://www.pap.fr/annonces/maison-lacq-64170-r454701100;
F24/1823 /  17 octobre 2024;69002.0;17/10/2024;180000.0;45.762105;4.833857;studio;D;"Centre presqu'île, dans un très bel immeuble ancien .
Studio/mezzanine, meublé 18.93 m2 loi carrez ( 29.65 m2 au sol), dernier étage 6/6 avec ascenseur.
Sol carrelé, salle de bains, climatisation réversible, chauffage électrique, lumineux, calme absolu, fenêtres donnant sur cour.
Ravalement effectué, porte blindée, cave fermée avec porte blindée et grenier, interphone.
Agences s'abstenir.";https://www.pap.fr/annonces/appartement-lyon-2e-r452401823;
F52/1757 /  19 octobre 2024;33710.0;19/10/2024;320000.0;45.085715;-0.508246;maison;A;"Venez déposer vos valises dans cette maison dotée d' un environnement calme et entièrement rénovée avec des matériaux de qualité orientée plein sud.
De nombreux équipements en feront la maison facile à vivre et économique car pas de travaux à prévoir (volets roulants, chauffe-eau thermodynamique, poêle à granulé et climatisation dans pièce de vie).

Idéalement située à 15 min de Blaye ou de Saint André de Cubzac. Facilité d'accès à Bordeaux ou à Libourne en 40 min. Les écoles maternelles/primaires à 5 min et accès au collège/lycée environ 15 min ou par le bus scolaire devant la maison. Le quotidien en 5 min avec proximité de nombreux commerces (supermarché, station service, épicerie, boucherie, pharmacie, boulangerie, coiffeur, opticien, fleuriste).

Rez-de-chaussée :
Espace de vie lumineux de 56 m² composé d'un séjour et d'une  cuisine ouverte entièrement équipée (plaque cuisson vitrocéramique, hotte aspirante, lave-vaisselle, four à chaleur tournante) avec ilot central.
Suite parentale composée d'une chambre, d'une douche spacieuse, d'un lavabo et d'un dressing pour une surface totale de 21 m² - wc séparés - Cellier.

1er étage :
3 chambres d'environ 12 m² chacune
Salle d'eau avec douche italienne et deux vasques - wc séparés
Pièce de 12 m² qui peut être transformé en chambre d'appoint, en bureau (idéal télétravail), salle de jeu ou dressing.

Extérieur
Terrain arboré de 400 m² – Lumières par détecteurs
Terrasse couverte qui peut servir d'atelier ou d'abri voitures.

Montant de la taxe foncière 1 290 €.
Rapport DPE - Maison à haute performance énergétique
Consommation 54kWh eo/em².an (Classe A).
Montant estimé des dépenses annuelles d'énergie pour un usage standard : entre 554 € et 740 € par an (prix annexés sur l'année 2021).
Emissions GES 1 kg eq CO2/m².an (Classe A).

Pas d'agence.";https://www.pap.fr/annonces/maison-pugnac-33710-r455201757;
F47/3314 /  17 octobre 2024;31000.0;17/10/2024;205000.0;43.609624;1.440581;appartement;C;"Situé au calme, proche de l’Église Saint-Sernin, à proximité de commerces et à 7 minutes à pied du Métro B.

Charmant appartement de 49m², situé au 2ème d'une petite résidence récente de 2013 sécurisée de 3 étages, bon état, il se compose :

-d'une entrée donnant dans un séjour lumineux avec balconnet de 3m², une cuisine équipée et séparée, une chambre avec rangement, et une salle de bains avec wc.

Chauffage électrique au sol. Double vitrage.

Charges de copropriété / an :  720€ (eau, électricité, partie commune)
Taxe foncière / an :  900€  Nous avons réalisé l'estimation du prix de vente de ce bien de manière indépendante et impartiale. Le propriétaire a choisi de mettre un prix cohérent avec ce que nous avions établi. Nous pouvons donc vous assurer que le prix de ce bien est cohérent avec le prix du marché. J'utilise Whatsapp. Vous pouvez proposer un appel vidéo pour visiter le logement.";https://www.pap.fr/annonces/appartement-toulouse-r454703314;
F49/0338 /  17 octobre 2024;95110.0;17/10/2024;212000.0;48.969735;2.253646;appartement;E;"Centre ville, situé à 5 min à pied de la Place du Marché, 8 à 10 min à pied de la gare de Sannois (ligne J).
Agréable appartement situé au 3e étage, 65 m² offrant : entrée, séjour donnant sur balcon avec vue dégagée, cuisine séparée aménagée (possibilité d'ouvrir sur le séjour), 2 chambres, salle de bains, wc séparés, placard. Vendu avec une cave et un box fermé.
Chauffage collectif au sol  & électrique individuel .
Fenêtre pvc double vitrage.
Proche d'écoles maternelle et primaire, commerces de proximité, centre commercial. Résidence appréciée pour son calme et son accès piétonnier.

Charges de copropriété / an : 2 200 €.
Taxe foncière / an : 1727€.  Nous avons réalisé l'estimation du prix de vente de ce bien de manière indépendante et impartiale. Le propriétaire a choisi de mettre un prix cohérent avec ce que nous avions établi. Nous pouvons donc vous assurer que le prix de ce bien est cohérent avec le prix du marché.";https://www.pap.fr/annonces/appartement-sannois-r454900338;Sannois//Cernay//Ermont-Eaubonne
F50/1620 /  17 octobre 2024;93500.0;17/10/2024;440000.0;48.897592;2.397584;appartement;C;"Nous vendons, pour cause de mutation, notre magnifique T3 d'une surface de 69 m², au 2ème étage, à Pantin (Quartier Mairie).
Idéalement situé à quelques pas de la gare RER E et situé au pied du tramway. Métro 5 et 7 à proximité. À quelques minutes à pied du Canal de l'Ourcq, du Parc de la Villette, du Zénith et de toutes commodités.

Cet appartement comprend :
Un double salon/salle à manger de 31 m² spacieux et atypique, bénéficiant d'un charmant mur en briques et d'une belle luminosité tout au long de la journée grâce à sa double exposition. Grand dressing à personnaliser. La salle de bain dispose d'une douche en béton ciré et d'un chauffage mural, idéal pour un confort optimal.
La cuisine équipée est entièrement neuve (four pyrolyse, lave-vaisselle, grand réfrigérateur, hotte électrique).
2 chambres (14 m² et 9 m²) + un grand dressing.

Grande cave saine, en excellent état.

Chauffage au sol et chauffe-eau électrique individuel, entièrement neufs.
Aucun espace n'est perdu, et de nombreux rangements sont disponibles.
DPE + GES en C

Immeuble bien entretenu avec une copropriété gérée de manière sérieuse.
Cet appartement, est parfait pour une famille ou un couple recherchant un cadre de vie agréable.

AGENCES S'ABSTENIR, merci.";https://www.pap.fr/annonces/appartement-pantin-93500-r455001620;Ella Fitzgerald//Pantin//Delphine Seyrig
F29/1665 /  18 octobre 2024;77620.0;18/10/2024;290000.0;48.175223;2.878033;maison;C;"Sous compromis

Très jolie maison lumineuse et indépendante d'une surface d'environ 200 m2, édifiée sur un vaste terrain de 1244 m2 avec piscine et pool house, terrasse, grand jardin & abri de 19 m2. Le tout sans vis-à-vis.

A 50 minutes de paris dans village toute commodité, école maternelle et primaire, Musée Bourdelle,  le train à Nemours est 40 minutes de Paris Bercy.

Elle se compose sur deux niveaux :
- Au rez-de-chaussée : l'entrée donne sur la grande pièce à vivre principale avec séjour / cuisine équipée ouverte et grande salle à manger ainsi qu'une suite parentale avec dressing et salle d'eau avec douche à l'italienne, wc et double vasque.

- À l'étage : en partie mansardé, une pièce palière avec espace bureau dessert l'espace nuit avec trois chambres (dont deux grandes) ainsi qu'une salle d'eau avec douche, wc et double vasque.

- Sous sol total semi enterré aménagé , avec une chambre complémentaire et sa salle de bains balnéo et wc.
Cave cuisine d'été, buanderie.

Chauffage.PAC - Air/Air clim réversible.Double vitrage
DPE: C et B

Abri de jardin et Pool House.

Taxe foncière : 1649 E  Nous avons réalisé l'estimation du prix de vente de ce bien de manière indépendante et impartiale. Le propriétaire a choisi de mettre un prix cohérent avec ce que nous avions établi. Nous pouvons donc vous assurer que le prix de ce bien est cohérent avec le prix du marché.";https://www.pap.fr/annonces/maison-egreville-77620-sous-compromis-r452901665;Dordives//Ferrières - Fontenay
F50/2795 /  17 octobre 2024;92420.0;17/10/2024;545000.0;48.834262;2.154058;maison;;"Située à 600m de la gare de Vaucresson et à 450m des commerces

Maison mitoyenne 3 pièces sur 2 niveaux d'une superficie de 80m2 avec un terrain de 60m2  avec terrasse, elle comporte :

Au rez-de-chaussée :
Une entrée, un séjour lumineux carrelé orienté plein sud donnant sur une terrasse extérieure de 20m2, une cuisine ouverte aménagée et équipée, wc suspendus avec fenêtre.

A l'étage :
Un couloir avec rangement dessert une suite parentale avec espace pour dressing, une chambre avec rangement, une salle d'eau avec fenêtre wc suspendus lavabo et sèche-serviettes.

Au sous sol:
Buanderie équipée.
Chambre d'appoint avec douche et lavabo.

Sous combles:
vaste espace isolé à votre convenance (rangement, chambre, salle de jeux)

Une cave complète ce bien.
**Une place de parking devant la maison et possibilité de garer des voitures dans la résidence
Accès au domaine par digicode et barrière.
Double vitrage, DPE en cours.
Chauffage : gaz
Charges de copropriété : 1400€/an";https://www.pap.fr/annonces/maison-vaucresson-r455002795;Vaucresson//La Celle-Saint-Cloud//Garches - Marnes-la-Coquette
F03/0950 /  17 octobre 2024;94500.0;17/10/2024;375000.0;48.821045;2.502632;maison;C;"Quartier calme et résidentiel (le Tremblay / Le Plant). Proche centre ville.
A 5 min du RER, très bien située, proche de toutes commodités, écoles & transports. Parc du Tremblay à 5mn.

Charmante maison atypique de 90 m2, très lumineuse, exposé plein Sud, sur parcelle de 97 m2. Elle se compose sur trois niveaux de :

- En rez-de-jardin : une entrée par véranda fermée avec verrière d'époque restaurée 2015, une salle à manger ainsi qu'une cuisine ouverte meublée + électroménager.

- A l'étage : 2 chambres (isolation thermique et ignifuge) avec grand dressing, cheminée fonctionnelle et une salle d'eau aménagée PMR . Douche italienne avec wc.

- Au sous-sol : salon + bureau avec très joli parquet flottant couleur chêne gris clair (passage intensif) posé il y a 2 ans. (Possibilité de faire un beau studio accessible par le jardin. Arrivée d'eau / gaz / électricité en place).

Chauffage gaz & poêle à bois. Double vitrage. Très bien isolée. Fosse pour récupérer eau de pluie.

Garage de 20 m2 pour un véhicule + facilité de stationnement dans la rue.

Taxe foncière : 700 E  Nous avons réalisé l'estimation du prix de vente de ce bien de manière indépendante et impartiale. Le propriétaire a choisi de mettre un prix cohérent avec ce que nous avions établi. Nous pouvons donc vous assurer que le prix de ce bien est cohérent avec le prix du marché.";https://www.pap.fr/annonces/maison-champigny-sur-marne-94500-r450300950;Les Boullereux Champigny//Champigny//Nogent le Perreux
F33/0250 /  17 octobre 2024;93300.0;17/10/2024;625000.0;48.915397;2.404592;appartement;E;"Au pied du métro Fort d'Aubervilliers avec possibilité de séparer en plusieurs appartements un appartement de 198 m² d'habitation au 1ᵉʳ étage et dernier étage sans ascenseur (seul sur le palier).
Comprenant 8 pièces, 2 cuisines, plusieurs salles d'eau et au milieu une belle terrasse vue ciel de 47 m² et en sus une pièce pouvant faire un autre studio non compté dans les 198 m² d'environ 25 m². Pas de charges de copropriété.
 2 copropriétaires seulement.
Belle hauteur sous plafond de plus de 3 mètres, double vitrage déjà installé sur toutes les fenêtres. Travaux à prévoir.
Idéal pour investisseur.";https://www.pap.fr/annonces/appartement-aubervilliers-93300-r453300250;Fort d'Aubervilliers//La Courneuve - 8 Mai 1945//Maurice Lachâtre
F38/2265 /  17 octobre 2024;31600.0;17/10/2024;299000.0;43.475864;1.346804;maison;D;"Idéalement située au bord de Garonne dans une impasse avec un environnement calme et sécurisé.
La maison de 130m² est rénovée (électricité, menuiserie double vitrage, isolation des combles, toiture, sols, salles de bain, cuisine, chambres, extérieur).

Le rez-de-chaussée est composé d’une entrée, d’un salon, d’une cuisine aménagée, d’une salle à manger, d’une buanderie/cellier et d’un wc.
L’étage est composé de quatre chambres, une salle d’eau, une salle de bain, un wc séparé.
Un balcon de 12 m² vous offre une vue panoramique sur la Garonne et la nature.

Le terrain de 1.400 m² est arboré, avec cabanon et grande terrasse (50m²).

Economie d’énergie : chaudière à condensation performante alimentée par le gaz de ville.

A 5 minutes à pied : Commodités, école, commerces, centre médical, arrêt de bus (Tisseo) et ramassage scolaire (collège et lycée de rattachement Pins Justaret).
Muret à 5 minutes et Toulouse à 20 minutes en voiture.

Secteur privilégié et calme, propice aux balades dans la nature, au footing, vélo...
Si vous avez envie de profiter de beaux couchés de soleil sur la Garonne, contactez-moi !";https://www.pap.fr/annonces/maison-saubens-31600-r453802265;
