ID_RE,Stations
F36/2105 /  17 octobre 2024,Fontaine-Michalon
F22/2507 /  17 octobre 2024,Place Monge (Jardin des Plantes - Arènes de Lutèce)
F22/2507 /  17 octobre 2024,Censier - Daubenton
F22/2507 /  17 octobre 2024,Cardinal Lemoine
F28/0901 /  17 octobre 2024,
F51/3057 /  17 octobre 2024,
F20/1137 /  17 octobre 2024,
F33/1094 /  17 octobre 2024,Les Boullereux Champigny
F33/1094 /  17 octobre 2024,Nogent le Perreux
F33/1094 /  17 octobre 2024,Nogent-sur-Marne
F40/1205 /  19 octobre 2024,
F22/0847 /  17 octobre 2024,
F00/1504 /  18 octobre 2024,
F27/0110 /  17 octobre 2024,Le Parc de Saint-Maur
F27/0110 /  17 octobre 2024,Saint-Maur - Créteil
F27/0110 /  17 octobre 2024,Créteil - L'Échat (Hôpital Henri Mondor)
F49/3133 /  17 octobre 2024,
F32/3137 /  17 octobre 2024,
F38/0248 /  17 octobre 2024,
E80/1307 /  17 octobre 2024,Saint-Cloud
E80/1307 /  17 octobre 2024,Les Milons
E80/1307 /  17 octobre 2024,Parc de Saint-Cloud
F29/1805 /  19 octobre 2024,
F36/0587 /  17 octobre 2024,La Celle-Saint-Cloud
F36/0587 /  17 octobre 2024,Vaucresson
F36/0587 /  17 octobre 2024,Bougival
E78/3598 /  17 octobre 2024,
F50/2441 /  17 octobre 2024,
F32/3172 /  17 octobre 2024,Torcy
F32/3172 /  17 octobre 2024,Bussy-Saint-Georges
F32/3172 /  17 octobre 2024,Lognes
F05/2472 /  17 octobre 2024,
F12/0151 /  17 octobre 2024,Sentier
F12/0151 /  17 octobre 2024,Bonne Nouvelle
F12/0151 /  17 octobre 2024,Bourse
F33/1610 /  17 octobre 2024,Faidherbe - Chaligny
F33/1610 /  17 octobre 2024,Ledru-Rollin
F33/1610 /  17 octobre 2024,Charonne
F24/1567 /  19 octobre 2024,
F46/1663 /  18 octobre 2024,Saint-Gratien
F46/1663 /  18 octobre 2024,Sannois
F46/1663 /  18 octobre 2024,Epinay-sur-Seine
F38/0277 /  17 octobre 2024,
F50/2671 /  17 octobre 2024,Robinson
F50/2671 /  17 octobre 2024,Fontenay-aux-Roses
F50/2671 /  17 octobre 2024,Sceaux
F33/1675 /  19 octobre 2024,Viroflay-Rive-Droite
F33/1675 /  19 octobre 2024,Viroflay-Rive-Gauche
F33/1675 /  19 octobre 2024,Montreuil
F33/0356 /  17 octobre 2024,Ourcq
F33/0356 /  17 octobre 2024,Crimée
F33/0356 /  17 octobre 2024,Corentin Cariou
F36/0533 /  19 octobre 2024,
E69/1695 /  18 octobre 2024,Chemin d'Antony
E69/1695 /  18 octobre 2024,Antony
E69/1695 /  18 octobre 2024,La Croix de Berny
F35/0869 /  17 octobre 2024,Château d'Eau
F35/0869 /  17 octobre 2024,Strasbourg - Saint-Denis
F35/0869 /  17 octobre 2024,Jacques Bonsergent
F34/0870 /  17 octobre 2024,
F34/0201 /  19 octobre 2024,Saint-Michel-sur-Orge
F34/0201 /  19 octobre 2024,Sainte-Geneviève-des-Bois
F34/0201 /  19 octobre 2024,Epinay-sur-Orge
F49/2764 /  17 octobre 2024,Saint-Leu la Forêt
F49/2764 /  17 octobre 2024,Vaucelles
F49/2764 /  17 octobre 2024,Taverny
F48/0316 /  11 octobre 2024,
F51/3223 /  17 octobre 2024,Poissonnière
F51/3223 /  17 octobre 2024,Cadet
F51/3223 /  17 octobre 2024,Gare du Nord
D94/0633 /  17 octobre 2024,
F47/1973 /  18 octobre 2024,Crimée
F47/1973 /  18 octobre 2024,Rosa Parks
F47/1973 /  18 octobre 2024,Riquet
F36/2908 /  17 octobre 2024,
F33/0691 /  17 octobre 2024,Saint-Maur - Créteil
F33/0691 /  17 octobre 2024,Joinville-le-Pont
F33/0691 /  17 octobre 2024,Le Parc de Saint-Maur
F43/1932 /  17 octobre 2024,
F44/1562 /  19 octobre 2024,Courcelles
F44/1562 /  19 octobre 2024,Ternes
F44/1562 /  19 octobre 2024,Monceau
F33/0058 /  17 octobre 2024,
F53/1711 /  19 octobre 2024,Sevran - Livry
F53/1711 /  19 octobre 2024,Freinville - Sevran
F53/1711 /  19 octobre 2024,Rougemont - Chanteloup
F48/1645 /  19 octobre 2024,Saint-Mandé
F48/1645 /  19 octobre 2024,Bérault
F48/1645 /  19 octobre 2024,Vincennes
F17/0623 /  17 octobre 2024,
F29/1478 /  17 octobre 2024,Trappes
F29/1478 /  17 octobre 2024,Saint-Quentin-en-Yvelines
F29/1478 /  17 octobre 2024,La Verrière
F06/2155 /  17 octobre 2024,
F10/0972 /  18 octobre 2024,Le Parc de Saint-Maur
F10/0972 /  18 octobre 2024,Saint-Maur - Créteil
F10/0972 /  18 octobre 2024,Champigny
F34/0867 /  17 octobre 2024,
F42/1415 /  17 octobre 2024,
E12/1592 /  18 octobre 2024,
F51/1060 /  17 octobre 2024,Billancourt
F51/1060 /  17 octobre 2024,Marcel Sembat
F51/1060 /  17 octobre 2024,Pont de Sèvres
F22/0485 /  17 octobre 2024,
F35/1251 /  13 octobre 2024,
F52/1287 /  19 octobre 2024,Suresnes-Mont-Valérien
F52/1287 /  19 octobre 2024,Suresnes-Longchamp
F52/1287 /  19 octobre 2024,Belvédère
E15/2285 /  17 octobre 2024,
F15/2210 /  17 octobre 2024,
F35/1737 /  18 octobre 2024,
F22/1416 /  19 octobre 2024,
F45/0350 /  17 octobre 2024,Jourdain
F45/0350 /  17 octobre 2024,Place des Fêtes
F45/0350 /  17 octobre 2024,Pyrénées
F38/2542 /  17 octobre 2024,Odéon
F38/2542 /  17 octobre 2024,Mabillon
F38/2542 /  17 octobre 2024,Saint-Germain-des-Prés
F32/0349 /  17 octobre 2024,Jourdain
F32/0349 /  17 octobre 2024,Pyrénées
F32/0349 /  17 octobre 2024,Pelleport
F34/1970 /  19 octobre 2024,Pont-Cardinet
F34/1970 /  19 octobre 2024,Rome
F34/1970 /  19 octobre 2024,Villiers
F38/1819 /  17 octobre 2024,
F41/0611 /  17 octobre 2024,Grigny - Centre
F41/0611 /  17 octobre 2024,Savigny-sur-Orge
F41/0611 /  17 octobre 2024,Epinay-sur-Orge
F30/0261 /  18 octobre 2024,
F50/0479 /  17 octobre 2024,Savigny-sur-Orge
F50/0479 /  17 octobre 2024,Viry-Châtillon
F50/0479 /  17 octobre 2024,Juvisy-sur-Orge
E98/0914 /  17 octobre 2024,Combs-la-Ville - Quincy
E98/0914 /  17 octobre 2024,Lieusaint - Moissy
E98/0914 /  17 octobre 2024,Boussy-Saint-Antoine
E41/0143 /  17 octobre 2024,Campo-Formio
E41/0143 /  17 octobre 2024,Les Gobelins
E41/0143 /  17 octobre 2024,Censier - Daubenton
F51/0362 /  19 octobre 2024,
F52/2715 /  14 octobre 2024,Le Val d'Or
F52/2715 /  14 octobre 2024,Les Coteaux
F52/2715 /  14 octobre 2024,Suresnes-Longchamp
F51/1621 /  18 octobre 2024,Javel - André Citroën
F51/1621 /  18 octobre 2024,Charles Michels
F51/1621 /  18 octobre 2024,Javel
E49/0034 /  17 octobre 2024,Sarcelles - Saint-Brice
E49/0034 /  17 octobre 2024,Groslay
E49/0034 /  17 octobre 2024,Paul Valéry
E74/1816 /  18 octobre 2024,
D92/1251 /  18 octobre 2024,
F48/1977 /  19 octobre 2024,
F49/0216 /  17 octobre 2024,Puteaux
F49/0216 /  17 octobre 2024,La Défense
F49/0216 /  17 octobre 2024,Faubourg de l'Arche
D50/1806 /  19 octobre 2024,Nogent-sur-Marne
D50/1806 /  19 octobre 2024,Joinville-le-Pont
D50/1806 /  19 octobre 2024,Fontenay-sous-Bois
F29/2814 /  17 octobre 2024,
F32/0397 /  17 octobre 2024,
F20/0164 /  17 octobre 2024,Porte de Champerret
F20/0164 /  17 octobre 2024,Pereire (Maréchal Juin)
F20/0164 /  17 octobre 2024,Pereire - Levallois
F36/2934 /  17 octobre 2024,
E66/0983 /  17 octobre 2024,Marly-le-Roi
E66/0983 /  17 octobre 2024,Louveciennes
E66/0983 /  17 octobre 2024,L'Etang-la-Ville
F47/2511 /  17 octobre 2024,
F24/1105 /  17 octobre 2024,
F46/2408 /  17 octobre 2024,Pont de Neuilly
F46/2408 /  17 octobre 2024,Esplanade de la Défense
F46/2408 /  17 octobre 2024,Puteaux
F35/2352 /  19 octobre 2024,Rambouillet
F35/2352 /  19 octobre 2024,Le Perray
F35/2352 /  19 octobre 2024,Les Essarts-le-Roi
F43/2057 /  17 octobre 2024,
F18/2530 /  17 octobre 2024,Sevran - Livry
F18/2530 /  17 octobre 2024,Freinville - Sevran
F18/2530 /  17 octobre 2024,Maurice Audin
E93/0189 /  17 octobre 2024,
F37/1122 /  17 octobre 2024,
F36/0475 /  19 octobre 2024,
F45/2512 /  17 octobre 2024,
F23/0570 /  17 octobre 2024,Rosny sur Seine
F23/0570 /  17 octobre 2024,Mantes-la-Jolie
F23/0570 /  17 octobre 2024,Mantes-Station
E70/2594 /  17 octobre 2024,
F33/3292 /  17 octobre 2024,Meudon - Val Fleury
F33/3292 /  17 octobre 2024,Meudon
F33/3292 /  17 octobre 2024,Meudon-sur-Seine
F37/2768 /  17 octobre 2024,Arts et Métiers
F37/2768 /  17 octobre 2024,Rambuteau (Centre Georges Pompidou)
F37/2768 /  17 octobre 2024,Réaumur - Sébastopol
F16/0704 /  17 octobre 2024,Sartrouville
F16/0704 /  17 octobre 2024,Houilles - Carrières-sur-Seine
F16/0704 /  17 octobre 2024,Maisons-Laffitte
F33/0715 /  17 octobre 2024,
F41/1952 /  17 octobre 2024,
D88/1399 /  17 octobre 2024,
F32/3295 /  17 octobre 2024,Val d’Europe
F32/3295 /  17 octobre 2024,Marne-la-Vallée - Chessy
F32/3295 /  17 octobre 2024,Bussy-Saint-Georges
F43/2123 /  17 octobre 2024,
E76/1240 /  17 octobre 2024,
F43/0828 /  17 octobre 2024,Philippe Auguste
F43/0828 /  17 octobre 2024,Alexandre Dumas
F43/0828 /  17 octobre 2024,Charonne
F16/0794 /  17 octobre 2024,
F51/1568 /  17 octobre 2024,
F27/1098 /  17 octobre 2024,
F07/0566 /  17 octobre 2024,
F42/1990 /  17 octobre 2024,Château Rouge
F42/1990 /  17 octobre 2024,Marcadet - Poissonniers
F42/1990 /  17 octobre 2024,Barbès - Rochechouart
E70/2674 /  17 octobre 2024,Taverny
E70/2674 /  17 octobre 2024,Vaucelles
E70/2674 /  17 octobre 2024,Bessancourt
E24/0923 /  19 octobre 2024,Ponthierry - Pringy
E24/0923 /  19 octobre 2024,Le Coudray-Montceaux
E24/0923 /  19 octobre 2024,Boissise-le-Roi
F28/0985 /  18 octobre 2024,Rosa Parks
F28/0985 /  18 octobre 2024,Crimée
F28/0985 /  18 octobre 2024,Corentin Cariou
F06/2091 /  19 octobre 2024,Chézy-sur-Marne
F06/2091 /  19 octobre 2024,Château-Thierry
F06/2091 /  19 octobre 2024,Nogent-l'Artaud - Charly
F35/1215 /  13 octobre 2024,Dourdan - La Forêt
F35/1215 /  13 octobre 2024,Dourdan
F35/1215 /  13 octobre 2024,Saint-Rémy-lès-Chevreuse
E82/0477 /  18 octobre 2024,
F19/2003 /  17 octobre 2024,
F19/0284 /  18 octobre 2024,Sainte-Geneviève-des-Bois
F19/0284 /  18 octobre 2024,Saint-Michel-sur-Orge
F19/0284 /  18 octobre 2024,Gravigny - Balizy
D48/0689 /  18 octobre 2024,
E93/1870 /  17 octobre 2024,
F28/0740 /  17 octobre 2024,
E55/2131 /  17 octobre 2024,
F47/1788 /  17 octobre 2024,Franconville - Plessis-Bouchard
F47/1788 /  17 octobre 2024,Saint-Leu la Forêt
F47/1788 /  17 octobre 2024,Vaucelles
F01/1884 /  17 octobre 2024,Saint-Denis - Porte de Paris (Stade de France)
F01/1884 /  17 octobre 2024,Hôpital Delafontaine
F01/1884 /  17 octobre 2024,Cimetière de Saint-Denis
F52/1948 /  19 octobre 2024,
F43/2005 /  18 octobre 2024,Courbevoie
F43/2005 /  18 octobre 2024,Bécon-les-Bruyères
F43/2005 /  18 octobre 2024,Les Fauvelles
F53/1619 /  18 octobre 2024,Sannois
F53/1619 /  18 octobre 2024,Val d'Argenteuil
F53/1619 /  18 octobre 2024,Argenteuil
F48/1788 /  19 octobre 2024,Fontenay-aux-Roses
F48/1788 /  19 octobre 2024,Sceaux
F48/1788 /  19 octobre 2024,Robinson
F48/0416 /  17 octobre 2024,Belleville
F48/0416 /  17 octobre 2024,Buttes Chaumont
F48/0416 /  17 octobre 2024,Pyrénées
F23/1725 /  18 octobre 2024,
F34/0027 /  17 octobre 2024,Marne-la-Vallée - Chessy
F34/0027 /  17 octobre 2024,Val d’Europe
F34/0027 /  17 octobre 2024,Esbly
F34/1346 /  17 octobre 2024,
F49/3097 /  17 octobre 2024,Melun
F49/3097 /  17 octobre 2024,Le Mée
F49/3097 /  17 octobre 2024,Livry-sur-Seine
E78/1269 /  18 octobre 2024,Bièvres
E78/1269 /  18 octobre 2024,Vauboyen
E78/1269 /  18 octobre 2024,Igny
F15/0114 /  17 octobre 2024,Alésia
F15/0114 /  17 octobre 2024,Mouton-Duvernet
F15/0114 /  17 octobre 2024,Denfert-Rochereau (Colonel Rol-Tanguy)
C98/1178 /  18 octobre 2024,
F41/1638 /  19 octobre 2024,
F40/1407 /  18 octobre 2024,
F28/1085 /  19 octobre 2024,Les Clairières de Verneuil
F28/1085 /  19 octobre 2024,Vernouillet - Verneuil
F28/1085 /  19 octobre 2024,Vaux-sur-Seine
F48/2986 /  17 octobre 2024,
F43/0545 /  17 octobre 2024,
E88/0682 /  17 octobre 2024,
F00/1347 /  19 octobre 2024,
F29/0125 /  17 octobre 2024,Petit Pierrefitte
F29/0125 /  17 octobre 2024,Guynemer
F29/0125 /  17 octobre 2024,Joncherolles
F52/2146 /  14 octobre 2024,Mirabeau
F52/2146 /  14 octobre 2024,Église d'Auteuil
F52/2146 /  14 octobre 2024,Jasmin
F15/0396 /  18 octobre 2024,
F48/1656 /  18 octobre 2024,
F40/1859 /  17 octobre 2024,
E64/2839 /  17 octobre 2024,Vitry-sur-Seine
E64/2839 /  17 octobre 2024,Les Ardoines
E64/2839 /  17 octobre 2024,Villejuif - Paul Vaillant-Couturier
F29/1074 /  17 octobre 2024,Boigneville
F29/1074 /  17 octobre 2024,Buno - Gironville
F37/2383 /  17 octobre 2024,
F08/1928 /  17 octobre 2024,Clichy - Levallois
F08/1928 /  17 octobre 2024,Porte d'Asnières - Marguerite Long
F08/1928 /  17 octobre 2024,Anatole France
F43/0853 /  17 octobre 2024,
F28/0345 /  17 octobre 2024,Louveciennes
F28/0345 /  17 octobre 2024,Marly-le-Roi
F28/0345 /  17 octobre 2024,Bougival
F13/0706 /  17 octobre 2024,
F45/1448 /  19 octobre 2024,
E71/0875 /  17 octobre 2024,Bonnières
E71/0875 /  17 octobre 2024,Rosny sur Seine
E71/0875 /  17 octobre 2024,Mantes-la-Jolie
F47/2158 /  18 octobre 2024,
F33/1409 /  18 octobre 2024,
F34/1461 /  17 octobre 2024,
F28/2733 /  17 octobre 2024,
F40/1590 /  19 octobre 2024,
F51/1775 /  18 octobre 2024,
F40/1133 /  18 octobre 2024,
E98/2399 /  18 octobre 2024,Villejuif - Léo Lagrange
E98/2399 /  18 octobre 2024,Villejuif - Paul Vaillant-Couturier
E98/2399 /  18 octobre 2024,Le Kremlin-Bicêtre
F27/1248 /  19 octobre 2024,
F53/1370 /  18 octobre 2024,Nogent-sur-Marne
F53/1370 /  18 octobre 2024,Nogent le Perreux
F53/1370 /  18 octobre 2024,Fontenay-sous-Bois
F36/1076 /  18 octobre 2024,Barbara
F36/1076 /  18 octobre 2024,Mairie de Montrouge
F36/1076 /  18 octobre 2024,Laplace
F36/2213 /  17 octobre 2024,
F43/0571 /  18 octobre 2024,
E79/2425 /  19 octobre 2024,
F49/0666 /  17 octobre 2024,Bolivar
F49/0666 /  17 octobre 2024,Jaurès
F49/0666 /  17 octobre 2024,Laumière
F51/2394 /  17 octobre 2024,Marcel Sembat
F51/2394 /  17 octobre 2024,Porte de Saint-Cloud (Parc des Princes)
F51/2394 /  17 octobre 2024,Billancourt
F50/0355 /  17 octobre 2024,Pernety
F50/0355 /  17 octobre 2024,Gaîté
F50/0355 /  17 octobre 2024,Plaisance
E23/0293 /  17 octobre 2024,Ecole Vétérinaire de Maisons-Alfort
E23/0293 /  17 octobre 2024,Vitry-sur-Seine
E23/0293 /  17 octobre 2024,Maisons-Alfort-Alfortville
F50/2051 /  17 octobre 2024,
F06/2121 /  17 octobre 2024,
F22/1067 /  17 octobre 2024,Porte de Vincennes
F22/1067 /  17 octobre 2024,Porte de Montreuil
F22/1067 /  17 octobre 2024,Maraîchers
F46/2814 /  17 octobre 2024,Nanteuil - Saâcy
F46/2814 /  17 octobre 2024,La Ferté-sous-Jouarre
E86/2930 /  17 octobre 2024,
E01/0614 /  18 octobre 2024,Plaisance
E01/0614 /  18 octobre 2024,Pernety
E01/0614 /  18 octobre 2024,Didot
E50/0735 /  17 octobre 2024,Robert Wagner
E50/0735 /  17 octobre 2024,L'Onde
E50/0735 /  17 octobre 2024,Porchefontaine
F18/1988 /  17 octobre 2024,
F47/0695 /  17 octobre 2024,Maisons-Laffitte
F47/0695 /  17 octobre 2024,Sartrouville
F47/0695 /  17 octobre 2024,Houilles - Carrières-sur-Seine
F51/0205 /  17 octobre 2024,Malakoff - Plateau de Vanves
F51/0205 /  17 octobre 2024,Porte de Vanves
F51/0205 /  17 octobre 2024,Brancion
F46/1524 /  19 octobre 2024,
F44/0784 /  15 octobre 2024,Ranelagh
F44/0784 /  15 octobre 2024,Jasmin
F44/0784 /  15 octobre 2024,La Muette
F25/1096 /  18 octobre 2024,
F49/2626 /  17 octobre 2024,
F48/2273 /  16 octobre 2024,Deuil - Montmagny
F48/2273 /  16 octobre 2024,Enghien-les-Bains
F48/2273 /  16 octobre 2024,Groslay
E25/0704 /  18 octobre 2024,La Barre - Ormesson
E25/0704 /  18 octobre 2024,Enghien-les-Bains
E25/0704 /  18 octobre 2024,Epinay - Villetaneuse
F22/0506 /  19 octobre 2024,
F46/2473 /  17 octobre 2024,Juvisy-sur-Orge
F46/2473 /  17 octobre 2024,Viry-Châtillon
F46/2473 /  17 octobre 2024,Savigny-sur-Orge
F08/0515 /  17 octobre 2024,Volontaires
F08/0515 /  17 octobre 2024,Vaugirard (Adolphe Chérioux)
F08/0515 /  17 octobre 2024,Convention
F13/0213 /  17 octobre 2024,
F51/1449 /  19 octobre 2024,Saint-Nom-la-Bretèche - Forêt de Marly
F51/1449 /  19 octobre 2024,Noisy-le-Roi
F51/1449 /  19 octobre 2024,Villepreux - Les Clayes
E98/2624 /  19 octobre 2024,
F39/1562 /  18 octobre 2024,
F52/0612 /  17 octobre 2024,
F45/1724 /  17 octobre 2024,
F26/2723 /  19 octobre 2024,
F47/1821 /  19 octobre 2024,Pavé Blanc
F47/1821 /  19 octobre 2024,Georges Millandy
F47/1821 /  19 octobre 2024,Meudon-la-Forêt
F46/0065 /  17 octobre 2024,
F52/0396 /  17 octobre 2024,
F21/0078 /  17 octobre 2024,Bruyères-sur-Oise
F21/0078 /  17 octobre 2024,Boran-sur-Oise
F21/0078 /  17 octobre 2024,Persan - Beaumont
F22/2670 /  17 octobre 2024,Jules Joffrin
F22/2670 /  17 octobre 2024,Marcadet - Poissonniers
F22/2670 /  17 octobre 2024,Château Rouge
F03/0852 /  17 octobre 2024,Les Saules
F03/0852 /  17 octobre 2024,Orly - Ville
F03/0852 /  17 octobre 2024,Villeneuve-le-Roi
F04/0533 /  17 octobre 2024,Saint-Denis - Porte de Paris (Stade de France)
F04/0533 /  17 octobre 2024,Marché de Saint-Denis
F04/0533 /  17 octobre 2024,Cimetière de Saint-Denis
F27/1089 /  17 octobre 2024,
F31/0878 /  17 octobre 2024,
F53/1054 /  18 octobre 2024,
F50/2033 /  19 octobre 2024,
F06/1324 /  18 octobre 2024,
F34/2832 /  17 octobre 2024,
F14/1239 /  18 octobre 2024,
F43/0959 /  17 octobre 2024,
F52/2583 /  17 octobre 2024,
F33/3342 /  17 octobre 2024,Palaiseau
F33/3342 /  17 octobre 2024,Palaiseau - Villebon
F33/3342 /  17 octobre 2024,Massy - Palaiseau
F04/2434 /  17 octobre 2024,Pigalle
F04/2434 /  17 octobre 2024,Blanche
F04/2434 /  17 octobre 2024,Abbesses
E72/1009 /  18 octobre 2024,Pontoise
E72/1009 /  18 octobre 2024,Saint-Ouen-l'Aumône - Quartier de l'Eglise
E72/1009 /  18 octobre 2024,Saint-Ouen-l'Aumône
F09/1868 /  18 octobre 2024,
F34/1633 /  18 octobre 2024,
F23/2795 /  17 octobre 2024,
F41/0136 /  17 octobre 2024,
F06/0642 /  19 octobre 2024,
F49/1148 /  19 octobre 2024,
D00/0699 /  19 octobre 2024,Maubert - Mutualité
D00/0699 /  19 octobre 2024,Cluny - La Sorbonne
D00/0699 /  19 octobre 2024,Saint-Michel - Notre-Dame
E35/0189 /  17 octobre 2024,
F46/1888 /  17 octobre 2024,Alexandre Dumas
F46/1888 /  17 octobre 2024,Philippe Auguste
F46/1888 /  17 octobre 2024,Buzenval
F31/0798 /  17 octobre 2024,Persan - Beaumont
F31/0798 /  17 octobre 2024,Précy-sur-Oise
F31/0798 /  17 octobre 2024,Bruyères-sur-Oise
F45/0210 /  17 octobre 2024,Achères - Grand Cormier
F45/0210 /  17 octobre 2024,Achères - Ville
F45/0210 /  17 octobre 2024,Andrésy
E69/2953 /  18 octobre 2024,Montgeron-Crosne
E69/2953 /  18 octobre 2024,Yerres
E69/2953 /  18 octobre 2024,Brunoy
F52/1959 /  19 octobre 2024,Les Flanades
F52/1959 /  19 octobre 2024,Pierrefitte - Stains
F52/1959 /  19 octobre 2024,Garges - Sarcelles
F27/2667 /  18 octobre 2024,
F25/0921 /  17 octobre 2024,Bolivar
F25/0921 /  17 octobre 2024,Jaurès
F25/0921 /  17 octobre 2024,Laumière
F45/2353 /  17 octobre 2024,Athis-Mons - Porte de l'Essonne
